Date,Time,Location,Location Type,Pedestrian,Bike,Motorcycle,Veh,Age,Gender ,Latitude,Longitude
7/9/2006,, E Hastings St/Carrall St,,,,,1,30-39,M,,
7/21/2006,,400 Block E Broadway ,,,,,1,20-29,F,49.26251786,-123.0945002
7/28/2006,,Clark Dr/N Grandview Hwy,,,1,,0,60-69,M,,
9/17/2006,,6900 Fleming St,,1,,,0,0-10,M,49.22107554,-123.0733152
10/22/2006,,1100 Block E 60th Av,,1,,,0,40-49,M,49.21554129,-123.0816229
12/5/2006,,E Broadway/Clark Dr,,1,,,0,40-49,M,49.26238115,-123.0775006
1/11/2007,,6500 Oak St,,1,,,0,20-29,F,49.22611837,-123.1283314
1/17/2007,,W 60th Av/West Boulevard,,1,,,0,40-49,F,49.21713105,-123.1491347
1/26/2007,,1300 Main St/Terminal Av,,1,,,0,60-69,F,,
1/31/2007,,Elliott St/Waverley Av,,1,,,0,30-39,F,49.22676947,-123.0546939
2/1/2007,,E 1st Av/Rupert St,,,,1,0,40-49,M,49.26945987,-123.0336927
2/14/2007,,2500 Block E 1st Av,,1,,,0,30-39,M,49.26950746,-123.0533938
7/5/2007,,W 45th Av/Cambie St,,1,,,0,50-59,F,49.2298159,-123.1163429
7/6/2007,,1700 Block E 49th Av,,,,1,0,20-29,M,49.22522239,-123.0703841
7/12/2007,,Granville St/Balfour St,,,,,1,20-29,M,49.25192269,-123.1389918
7/25/2007,,W Broadway/Maple St,,1,,,0,40-49,F,49.2637899,-123.150529
8/1/2007,,4500 Block Nanaimo St,,1,,,0,80-89,F,49.24401944,-123.056654
8/16/2007,,Hemlock St on ramp/W 4th Av,,,,,1,40-49,M,49.2671372,-123.135963
8/17/2007,,Stanley Park Causeway,,,,,1,70-79,F,,
9/15/2007,,1900 Block Granville St Bridge,,,,1,0,20-29,M,49.27156176,-123.13456
9/18/2007,,W Georgia St/Beatty St,,1,,,0,50-59,M,,
10/8/2007,,W 4th Av/Trafalgar St,,,1,,0,60-69,M,49.2683168,-123.1645186
10/14/2007,,Oak St/W 70th Av,,1,,,0,20-29,F,49.20847126,-123.1302457
11/15/2007,,Granville St/Davie St,,1,,,0,70-79,M,49.27715047,-123.1261986
11/15/2007,,Renfrew St/Charles St,,1,,,0,70-79,M,49.27326263,-123.0441544
11/20/2007,,4200 Blk W 4th Av,,,,,1,30-39,M,49.26834118,-123.2010862
11/26/2007,,Venables St/Raymur Av,,,,,1,50-59,M,49.2768308,-123.0826008
12/8/2007,,W 4th Av/NW Marine Dr,,,,,1,20-29,M,49.2688558,-123.1994677
12/19/2007,,Hemlock St/W 14th Av,,1,,,0,80-89,F,49.2588724,-123.1362709
12/27/2007,,W 41st Av/Dunbar St,,1,,,0,80-89,M,49.23476621,-123.185339
1/5/2008,,E Hastings St/Kamloops St,,1,,,0,80-89,F,49.28114529,-123.0545815
1/9/2008,,Main St/E Hastings St,,1,,,0,80-89,F,49.28133561,-123.0996488
1/13/2008,,100 W 2nd Av,,,,,1,20-29,M,49.26930059,-123.1079991
1/16/2008,,2900 Block Main St,,1,,,0,40-49,M,49.25884565,-123.1011331
1/28/2008,,700 Block E 12th Av,,,,,1,20-29,F,49.25970856,-123.088196
3/14/2008,,Main St/E Hastings St,,1,,,0,60-69,M,49.28133561,-123.0996488
3/29/2008,,7500 Block Oak St,,,,,1,20-29,M,49.21581117,-123.1298446
6/28/2008,,2600 Blk E Broadway,,,,1,0,20-29,M,49.2620134,-123.0508914
6/30/2008,,2000 Blk Main St,,,1,,0,50-59,M,49.26686209,-123.1007941
7/11/2008,,Victoria Dr/E Hastings St,,,,1,0,60-69,M,49.28117685,-123.0655742
7/15/2008,,2400 Blk Clark  Dr,,1,,,0,40-49,M,49.26285553,-123.0774912
8/10/2008,,Oak St/Connaught Dr,,,,1,0,20-29,M,49.24353287,-123.1277464
8/23/2008,,900 Blk Powell St,,1,,,0,30-39,F,49.28258196,-123.0831508
9/10/2008,,200 Blk Powell St,,1,,,0,50-59,F,49.28317314,-123.0986512
9/21/2008,,Commercial Dr/Grandview Hwy N.,,1,,,0,60-69,M,49.26371788,-123.0697361
11/20/2008,,2900 W Broadway ,,1,,,0,70-79,M,49.26412124,-123.1710762
11/25/2008,,6454 Killarney St,,,,,1,20-29,M,49.22530781,-123.045656
12/7/2008,,Main St/E 6th Av,,1,,,0,50-59,M,49.26550616,-123.100851
12/16/2008,,400 Blk Kingsway,,1,,,0,40-49,M,49.2582316,-123.0938835
